angleX,angleY,angleZ,label
-28.2,-50.3,34.12,0
-28.45,-50.52,34.31,0
-29.07,-50.43,34.54,0
-29.29,-50.23,34.46,0
-29.54,-49.93,34.19,0
-29.7,-49.7,33.82,0
-29.53,-49.75,33.51,0
-29.25,-50.09,33.44,0
-28.84,-50.6,33.63,0
-28.43,-50.98,34.0,0
-28.06,-51.12,34.43,0
-27.72,-51.09,34.86,0
-27.26,-50.92,35.2,0
-27.08,-50.39,35.51,0
-27.3,-49.52,35.96,0
-27.13,-48.51,36.31,0
-27.33,-47.42,36.83,0
-27.41,-46.51,37.35,0
-27.36,-45.97,37.84,0
-27.4,-45.63,38.24,0
-27.49,-45.91,38.42,0
-27.22,-46.55,38.36,0
-27.56,-47.08,38.28,0
-27.83,-47.54,37.97,0
-28.3,-47.72,37.69,0
-28.62,-47.61,37.53,0
-28.54,-47.29,37.64,0
-28.03,-46.7,38.15,0
-27.67,-45.33,38.81,0
-28.88,-43.36,40.0,0
-29.41,-41.82,41.42,0
-29.31,-41.0,43.23,0
-28.7,-41.04,45.61,0
-26.76,-41.97,48.25,0
-23.93,-43.31,51.06,0
-20.78,-44.52,53.59,0
-18.84,-45.05,55.65,0
-18.44,-44.78,57.05,0
-18.48,-43.9,57.87,0
-19.04,-42.57,58.07,0
-20.67,-40.85,57.99,0
-22.16,-39.2,57.76,0
-22.88,-38.17,57.49,0
-23.65,-37.68,57.44,0
-23.9,-37.87,57.77,0
-22.47,-38.99,58.43,0
-19.65,-40.9,59.21,0
-16.79,-43.01,60.03,0
-14.29,-44.98,60.85,0
-12.1,-46.66,61.54,0
-10.08,-48.0,61.83,0
-8.68,-48.9,62.01,0
-8.09,-49.38,62.14,0
-7.92,-49.54,62.21,0
-7.73,-49.55,62.05,0
-8.08,-49.5,61.67,0
-9.1,-49.45,61.02,0
-10.17,-49.56,59.95,0
-10.69,-50.06,58.76,0
-9.72,-51.34,57.5,0
-7.89,-52.82,56.18,0
-8.11,-53.46,54.97,0
-10.52,-53.43,53.48,0
-11.45,-53.47,51.68,0
-9.65,-54.04,50.14,0
-6.4,-54.86,48.97,0
-3.22,-54.82,47.9,0
-1.44,-53.37,47.02,0
0.25,-50.91,46.49,0
1.84,-47.66,46.31,0
2.37,-44.41,46.59,0
3.87,-41.16,46.53,0
7.13,-37.9,46.25,0
10.38,-35.97,47.28,0
12.45,-35.66,48.31,0
12.78,-33.12,47.42,0
11.02,-30.0,46.33,0
11.29,-27.62,44.84,0
13.52,-26.42,43.21,0
16.25,-25.49,41.58,0
17.97,-25.24,40.02,0
19.34,-24.85,38.1,0
20.24,-24.94,36.44,0
21.8,-25.7,34.56,0
23.48,-27.31,32.8,0
25.14,-29.42,31.04,0
26.4,-31.71,29.75,0
27.3,-34.28,28.73,0
28.09,-37.2,27.95,0
29.02,-40.46,27.23,0
30.06,-43.68,26.9,0
30.57,-46.44,27.12,0
30.12,-49.01,27.85,0
29.36,-51.77,28.96,0
29.18,-54.86,30.39,0
29.84,-57.98,32.08,0
30.93,-60.76,34.04,0
32.37,-63.12,36.16,0
33.27,-64.66,38.46,0
33.31,-65.18,40.83,0
32.99,-65.05,43.12,0
33.0,-64.59,45.21,0
33.56,-63.78,47.09,0
34.17,-62.57,48.82,0
34.29,-61.02,50.44,0
34.22,-59.21,52.0,0
34.85,-55.95,54.08,0
32.91,-52.7,56.85,0
30.76,-49.45,58.88,0
28.86,-47.17,59.84,0
26.06,-46.32,60.04,0
23.18,-46.68,59.12,0
21.49,-48.3,57.61,0
22.87,-50.84,56.23,0
24.97,-53.26,54.99,0
25.57,-54.06,53.25,0
22.83,-53.27,52.27,0
19.57,-51.38,53.3,0
17.12,-49.9,56.03,0
17.73,-49.56,59.28,0
20.36,-50.23,62.39,0
23.57,-51.11,63.68,0
25.55,-52.21,63.76,0
27.17,-54.12,63.38,0
29.35,-56.55,62.03,0
32.6,-59.35,60.52,0
35.85,-61.75,59.27,0
35.57,-63.47,58.09,0
35.3,-64.42,56.2,0
33.61,-64.33,54.17,0
30.36,-62.93,52.85,0
27.11,-60.82,52.17,0
23.86,-59.58,51.24,0
21.78,-59.63,49.87,0
19.81,-60.19,48.51,0
18.25,-60.68,47.33,0
16.38,-60.98,46.71,0
14.63,-61.4,46.35,0
13.47,-62.41,46.43,0
12.97,-64.15,47.34,0
14.09,-67.03,48.1,0
15.75,-70.28,49.37,0
17.87,-73.53,50.69,0
17.93,-76.45,51.79,0
18.32,-78.74,52.24,0
20.61,-80.55,52.45,0
23.38,-82.95,52.69,0
26.63,-85.57,53.06,0
29.88,-88.76,53.54,0
33.13,-92.01,54.32,0
35.82,-95.26,55.22,0
