angleX,angleY,angleZ,label
-58.41,6.97,13.66,0
-57.65,7.2,14.48,0
-55.16,5.85,15.06,0
-51.91,2.68,16.62,0
-50.09,0.48,19.13,0
-47.13,-0.83,21.24,0
-46.56,-1.72,21.61,0
-47.74,-2.27,20.95,0
-47.11,-2.76,20.07,0
-43.92,-2.17,18.06,0
-44.61,-1.76,16.37,0
-47.87,-1.63,15.47,0
-51.08,-0.95,14.7,0
-53.89,-0.32,13.97,0
-56.17,-0.09,13.28,0
-56.91,-0.2,12.65,0
-56.57,-0.6,12.08,0
-55.4,-1.45,11.76,0
-53.69,-2.82,12.08,0
-51.62,-4.38,13.14,0
-49.34,-6.05,14.36,0
-47.42,-7.68,15.67,0
-46.68,-9.2,16.99,0
-45.89,-10.42,18.12,0
-44.59,-11.41,18.18,0
-44.7,-12.79,17.47,0
-45.6,-14.75,16.23,0
-46.53,-16.78,14.82,0
-47.58,-18.46,13.47,0
-48.05,-19.76,12.62,0
-48.04,-20.55,12.38,0
-47.1,-20.89,12.78,0
-45.85,-20.93,13.63,0
-44.53,-20.91,14.53,0
-43.74,-21.16,15.17,0
-43.87,-21.8,15.35,0
-44.22,-22.69,15.2,0
-44.31,-23.39,15.12,0
-44.28,-23.45,15.14,0
-44.37,-23.21,15.38,0
-44.41,-22.99,15.57,0
-45.02,-22.74,15.38,0
-46.22,-22.35,14.89,0
-45.29,-21.88,14.26,0
-44.96,-21.64,13.46,0
-45.47,-21.67,12.65,0
-46.45,-21.5,12.18,0
-47.35,-21.01,11.76,0
-48.04,-20.41,11.48,0
-48.09,-19.91,11.39,0
-47.9,-19.63,11.37,0
-47.8,-19.56,11.31,0
-47.86,-19.57,11.31,0
-47.61,-19.58,11.37,0
-47.15,-19.7,11.58,0
-46.13,-19.72,12.37,0
-44.1,-19.68,14.19,0
-41.83,-19.73,15.2,0
-41.23,-19.97,14.97,0
-42.57,-20.6,14.46,0
-43.3,-21.19,14.09,0
-42.8,-21.48,14.08,0
-42.69,-21.3,13.71,0
-44.1,-21.18,13.21,0
-45.15,-20.42,12.92,0
-46.49,-19.46,13.05,0
-48.64,-18.35,12.82,0
-51.49,-16.82,12.74,0
-54.73,-15.04,12.83,0
-57.8,-13.43,12.99,0
-60.42,-11.76,13.34,0
-62.71,-9.96,13.87,0
-65.68,-8.07,14.53,0
-68.1,-6.26,15.51,0
-70.55,-4.28,16.9,0
-73.41,-2.25,18.52,0
-76.66,0.04,19.86,0
-79.91,1.89,21.18,0
-82.69,2.91,22,0
-85.04,3.73,22.52,0
-87.35,4.14,23.17,0
-89.59,4.44,23.93,0
-91.6,4.89,24.76,0
-93.63,5.27,25.7,0
-95.76,5.35,26.6,0
-97.97,5.14,27.42,0
-100.12,4.92,28.1,0
-101.74,4.71,28.68,0
-102.66,4.23,29.15,0
-102.13,3.54,29.62,0
-103.4,4.02,29.76,0
-105.09,5.26,30.12,0
-106.92,6.46,30.48,0
-108.78,7.87,30.5,0
-110.35,9.28,30.29,0
-111.29,10.51,30.26,0
-110.67,11.36,31.68,0
-110.15,13.12,31.28,0
-109.52,14.32,30.83,0
-108.56,15.41,30.44,0
-107.95,16.38,29.31,0
-107.09,17.06,28.69,0
-105.62,17.84,28.37,0
-104.78,18.32,27.8,0
-104.79,18.89,28.98,0
-105.07,19.08,29.67,0
-105.24,18.79,30.59,0
-105.79,19.06,30.97,0
-106.41,19.23,31.21,0
-107.25,19.36,31.24,0
-107.93,19.29,31.69,0
-108.25,18.95,31.96,0
-108.14,18.38,32.48,0
-107.76,17.64,33.37,0
-107.42,16.8,34.32,0
-107.38,16.23,34.79,0
-107.55,15.94,34.82,0
-107.57,15.76,34.73,0
-107.37,15.67,34.58,0
-107.19,15.8,34.39,0
-107.15,16.01,34.13,0
-107.15,16.14,33.85,0
-107.19,16.15,33.58,0
-107.18,16.12,33.38,0
-107,16.02,33.24,0
-106.68,15.9,33.03,0
-106.11,16.04,32.95,0
-106.11,15.9,32.62,0
-106.08,15.34,31.59,0
-106.11,14.86,30.28,0
-106.28,14.59,29.04,0
-106.51,14.19,27.76,0
-106.81,13.58,26.5,0
-107,12.87,25.34,0
-106.94,12.3,24.48,0
-106.62,11.99,23.89,0
-106.31,11.98,23.53,0
-106.12,11.98,23.34,0
-105.98,11.99,23.22,0
-105.92,11.95,23.15,0
-105.8,11.91,23.14,0
-105.44,12,23.19,0
-105.01,12.14,23.26,0
-104.51,12.27,23.44,0
-104.18,12.2,23.46,0
-104.04,11.96,23.38,0
-104.02,11.76,23.26,0
-104.04,11.61,23.17,0
-104.11,11.49,23.13,0
-104.23,11.39,23.14,0
-104.36,11.36,23.19,0
-104.48,11.34,23.24,0
-104.56,11.33,23.24,0
-104.64,11.32,23.21,0
-104.69,11.27,23.16,0
-104.74,11.21,23.16,0
-104.79,11.16,23.18,0
-104.85,11.1,23.22,0
-104.86,11.02,23.25,0
-104.87,10.95,23.26,0
-104.88,10.89,23.24,0
-104.88,10.83,23.22,0
-104.89,10.76,23.21,0
-104.9,10.7,23.22,0
-104.9,10.64,23.22,0
-104.91,10.59,23.21,0
-104.91,10.55,23.2,0
-104.91,10.5,23.17,0
-104.91,10.43,23.15,0
-104.91,10.36,23.15,0
-104.92,10.28,23.16,0
-104.89,10.19,23.17,0
-104.83,10.1,23.17,0
-104.78,10,23.15,0
-104.77,9.86,23.12,0
-104.78,9.7,23.08,0
-104.75,9.53,23.02,0
-104.67,9.35,22.97,0
-104.61,9.21,22.95,0
-104.59,9.09,22.96,0
-104.64,8.98,22.97,0
-104.72,8.86,22.98,0
-104.76,8.74,22.99,0
-104.76,8.62,23,0
-104.72,8.5,23.02,0
-104.64,8.37,23.06,0
-104.54,8.22,23.12,0
-104.47,8.05,23.19,0
-104.45,7.91,23.25,0
-104.47,7.82,23.3,0
-104.48,7.73,23.33,1
-104.49,7.65,23.36,1
-104.45,7.56,23.4,1
-104.39,7.46,23.48,1
-104.32,7.33,23.57,1
-104.29,7.2,23.67,1
-104.32,7.02,23.73,1
-104.36,6.84,23.76,1
-104.39,6.69,23.76,1
-104.37,6.56,23.8,1
-104.27,6.43,23.88,1
-104.08,6.31,23.98,1
-103.79,6.2,24.1,1
-103.3,6.04,24.18,1
-102.43,5.9,24.49,1
-100.9,5.66,24.6,1
-98.42,5.4,24.5,1
-95.17,5.38,24.44,1
-91.92,5.86,25.59,1
-88.67,6.62,26.88,1
-85.41,6.83,27.48,1
-82.16,6.79,27.75,1
-78.91,6.8,27.94,1
-75.66,7.03,27.83,1
-72.41,7.37,27.52,1
-69.16,7.57,27.17,1
-65.9,7.78,26.69,1
-62.65,7.97,26.2,1
-59.4,8.05,25.74,1
-56.27,8.03,25.34,1
-53.65,8.02,25.2,1
-51.41,8.04,25.12,1
-49.32,8.1,24.98,1
-47.08,8.23,24.91,1
-44.79,8.48,24.98,1
-42.46,8.63,25.1,1
-40.27,8.74,25.07,1
-38.37,8.84,24.9,1
-36.68,8.91,24.64,1
